,Open
2012-09-03,1674.9000244140625
2012-09-10,1733.0999755859375
2012-09-17,1774.800048828125
2012-09-24,1762.0999755859375
2012-10-01,1766.0
2012-10-08,1778.0
2012-10-15,1750.0
2012-10-22,1715.0
2012-10-29,1715.0
2012-11-05,1682.800048828125
2012-11-12,1733.199951171875
2012-11-19,1721.800048828125
2012-11-26,1750.300048828125
2012-12-03,1714.9000244140625
2012-12-10,1704.199951171875
2012-12-17,1690.5
2012-12-24,1690.5
2012-12-31,1655.4000244140625
2013-01-07,1656.5
2013-01-14,1665.4000244140625
2013-01-21,1665.4000244140625
2013-01-28,1651.5999755859375
2013-02-04,1668.0
2013-02-11,1666.5
2013-02-18,1666.5
2013-02-25,1579.4000244140625
2013-03-04,1580.800048828125
2013-03-11,1576.0
2013-03-18,1605.9000244140625
2013-03-25,1607.0999755859375
2013-04-01,1596.800048828125
2013-04-08,1575.800048828125
2013-04-15,1478.199951171875
2013-04-22,1406.800048828125
2013-04-29,1462.699951171875
2013-05-06,1468.0999755859375
2013-05-13,1440.0
2013-05-20,1342.9000244140625
2013-05-27,1342.9000244140625
2013-06-03,1389.0999755859375
2013-06-10,1378.800048828125
2013-06-17,1390.300048828125
2013-06-24,1297.300048828125
2013-07-01,1234.699951171875
2013-07-08,1218.800048828125
2013-07-15,1292.0999755859375
2013-07-22,1317.0
2013-07-29,1328.4000244140625
2013-08-05,1311.199951171875
2013-08-12,1317.199951171875
2013-08-19,1379.0
2013-08-26,1398.5999755859375
2013-09-02,1398.5999755859375
2013-09-09,1389.800048828125
2013-09-16,1328.4000244140625
2013-09-23,1327.0999755859375
2013-09-30,1345.800048828125
2013-10-07,1313.800048828125
2013-10-14,1275.800048828125
2013-10-21,1316.800048828125
2013-10-28,1351.4000244140625
2013-11-04,1314.5999755859375
2013-11-11,1281.5999755859375
2013-11-18,1284.699951171875
2013-11-25,1231.0999755859375
2013-12-02,1251.4000244140625
2013-12-09,1230.199951171875
2013-12-16,1238.4000244140625
2013-12-23,1205.199951171875
2013-12-30,1215.0
2014-01-06,1232.800048828125
2014-01-13,1250.5999755859375
2014-01-20,1250.5999755859375
2014-01-27,1259.800048828125
2014-02-03,1242.4000244140625
2014-02-10,1269.5999755859375
2014-02-17,1269.5999755859375
2014-02-24,1324.300048828125
2014-03-03,1335.9000244140625
2014-03-10,1336.0
2014-03-17,1386.0999755859375
2014-03-24,1333.0
2014-03-31,1294.300048828125
2014-04-07,1301.4000244140625
2014-04-14,1320.0999755859375
2014-04-21,1290.0
2014-04-28,1305.4000244140625
2014-05-05,1305.5999755859375
2014-05-12,1282.0999755859375
2014-05-19,1293.699951171875
2014-05-26,1293.699951171875
2014-06-02,1250.0
2014-06-09,1252.699951171875
2014-06-16,1279.800048828125
2014-06-23,1312.300048828125
2014-06-30,1315.300048828125
